INCLUIR DADOS NA SEQUENCIA SEM ALTERAR OUTRAS INFORMAÇÕES NA PLANILHA,,,
SARF,IG,CNPJ,RAZÃO SOCIAL
201200488,CNPJ,82508433000117,COMPANHIA CATARINENSE DE ÁGUAS E SANEAMENTO - CASAN
201300175,CNPJ,00521113000132,SALVER CONSTRUTORA E INCORPORADORA LTDA
201300253,CNPJ,CNPJ,CENTRAIS ELÉTRICAS DE SANTA CATARINA S.A.
201400175,CNPJ,50668722001916,PROACTIVA MEIO AMBIENTE BRASIL LTDA
201400176,CNPJ,50668722001916,PROACTIVA MEIO AMBIENTE BRASIL LTDA
201400207,CNPJ,02531343000108,ADSERVI ADMINISTRADORA DE SERVIÇOS LTDA
201400219,CNPJ,00521113000132,SALVER CONSTRUTORA E INCORPORADORA LTDA
201400253,CNPJ,79283065000141,ORBENK ADMINISTRAÇÃO E SERVIÇOS LTDA
201500002,CNPJ,79283065000141,ORBENK ADMINISTRAÇÃO E SERVIÇOS LTDA
201500022,CNPJ,83953331000173,ONDREPSB LIMPEZA E SERVICOS ESPECIAIS LTDA.
201500024,CNPJ,83953331000173,ONDREPSB LIMPEZA E SERVIÇOS ESPECIAIS LTDA
201500025,CNPJ,03181576000190,EMBRASP COMÉRCIO E SERVIÇOS DE SEGURANÇA LTDA
201500026,CNPJ,79283065000141,ORBENK ADMINISTRAÇÃO E SERVIÇOS LTDA
201500033,CNPJ,07593524000182,BRASILRECRUTA MAO DE OBRA EIRELI
201500054,CNPJ,97542342000175,RT IMOBILIARIA LTDA - ME
201500059,CNPJ,83953331000173,ONDREPSB LIMPEZA E SERVICOS ESPECIAIS LTDA
201500122,CNPJ,83476911000117,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIVERSITARIA
201500135,CNPJ,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
201500178,CNPJ,72332778000109,T.O.S. OBRAS E SERVIÇOS AMBIENTAIS LTDA
